"first_name","last_name","gender","past_3_years_bike_related_purchases","dob","job_title","job_industry_category","wealth_segment","deceased_indicator","owns_car","tenure","address","postcode","state","country","property_valuation","Rank","Value","age","age_category"
"Maury","Galego","Male",65,"1992-07-27","Social Worker","Health","High Net Worth","N","Yes",3,"370 Division Junction","3032","VIC","Australia","10","181","1.16",31,"Young adults"
"Reggie","Kernar","Female",26,"1971-11-28","Senior Editor","Financial Services","High Net Worth","N","No",17,"90 Northport Hill","2228","NSW","Australia","10","181","1.16",52,"Middle adults"
"Brigitte","Whellams","Female",67,"1973-05-09","Payment Adjustment Coordinator","n/a","Mass Customer","N","Yes",17,"77785 Veith Lane","2766","NSW","Australia","8","188","1.16",50,"Middle adults"
"Kinna","Kollasch","Female",7,"1986-11-09","Safety Technician I","Property","High Net Worth","N","No",9,"232 Knutson Park","4060","QLD","Australia","10","188","1.16",37,"Middle adults"
"Maurizio","Comi","Male",74,"1996-05-30","VP Product Management","IT","Affluent Customer","N","No",10,"25805 Eagan Place","2766","NSW","Australia","9","190","1.16",27,"Young adults"
"Elbertina","Fendley","Female",32,"1992-03-27","Physical Therapy Assistant","Property","Affluent Customer","N","No",8,"743 Debra Court","2117","NSW","Australia","11","191","1.15",31,"Young adults"
"Franklin","Wohler","Male",55,"1938-10-16","Clinical Specialist","Health","Mass Customer","N","Yes",7,"6966 Delladonna Street","2250","NSW","Australia","8","191","1.15",85,"Seniors"
"Allyson","Petchell","Female",16,"1970-03-19","Human Resources Manager","Telecommunications","High Net Worth","N","No",10,"98221 Pennsylvania Place","2170","NSW","Australia","8","191","1.15",53,"Middle adults"
"Alanna","Lerway","Female",26,"1944-01-05","Dental Hygienist","Health","Mass Customer","N","Yes",11,"593 Alpine Drive","3195","VIC","Australia","12","195","1.15",79,"Seniors"
"Vincent","Jopke","Male",6,"1972-03-10","Analog Circuit Design manager","Property","Affluent Customer","N","No",16,"45788 Stang Plaza","3687","VIC","Australia","3","195","1.15",51,"Middle adults"
"Mandie","Jeffryes","Female",60,"1981-02-16","Business Systems Development Analyst","n/a","High Net Worth","N","No",7,"96515 Di Loreto Pass","4109","QLD","Australia","9","195","1.15",42,"Middle adults"
"Collete","Dory","Female",66,"1990-01-09","Information Systems Manager","n/a","High Net Worth","N","No",2,"8625 Dakota Plaza","2210","NSW","Australia","9","195","1.15",33,"Young adults"
"Leonid","Dorricott","Male",44,"1993-11-18","Environmental Tech","n/a","Affluent Customer","N","No",3,"02 Hoffman Road","2448","NSW","Australia","3","195","1.15",30,"Young adults"
"Charlena","Berney","Female",55,"1966-01-02","Geological Engineer","Manufacturing","High Net Worth","N","Yes",12,"496 Logan Center","4207","QLD","Australia","4","195","1.15",57,"Mature adults"
"Alfonso","Massel","Male",70,"1940-12-05",NULL,"n/a","Mass Customer","N","Yes",13,"6065 Talisman Crossing","3977","VIC","Australia","7","201","1.14",83,"Seniors"
"Engracia","Dobbs","Female",84,"1959-04-19",NULL,"Health","Mass Customer","N","No",15,"72 Eliot Place","2250","NSW","Australia","8","202","1.14",64,"Mature adults"
"Glyn",NULL,"Male",47,"1945-02-13","General Manager","Manufacturing","Affluent Customer","N","Yes",21,"67 Bluejay Plaza","2300","NSW","Australia","9","202","1.14",78,"Seniors"
"Rosemonde","Cartwight","Female",44,"1952-10-20","Analyst Programmer","Retail","Mass Customer","N","Yes",7,"518 Paget Hill","4605","QLD","Australia","1","202","1.14",71,"Seniors"
"Alano","Satchel","Male",2,"1998-11-26","Recruiting Manager","n/a","Mass Customer","N","No",2,"87107 Shelley Crossing","2429","NSW","Australia","7","202","1.14",25,"Young adults"
"Corrine","Baribal","Female",19,"1948-10-12","Senior Sales Associate","n/a","Affluent Customer","N","Yes",12,"3 Mallory Circle","2170","NSW","Australia","8","206","1.14",75,"Seniors"
"Benoit","Harniman","Male",31,"1976-08-27","Research Assistant II","Telecommunications","Affluent Customer","N","No",9,"1582 Bashford Drive","4018","QLD","Australia","7","206","1.14",47,"Middle adults"
"Jeanne","Darte","Female",70,"1955-08-18",NULL,"n/a","Mass Customer","N","Yes",11,"3 Homewood Park","2756","NSW","Australia","7","206","1.14",68,"Seniors"
"Jenelle","Fearnill","Female",12,"1958-01-03","Social Worker","Health","High Net Worth","N","No",19,"06 Old Gate Park","2144","NSW","Australia","9","206","1.14",65,"Seniors"
"Tannie","Gambrell","Male",92,"1967-05-25","Financial Analyst","Financial Services","Affluent Customer","N","No",4,"49 Surrey Point","4710","QLD","Australia","4","206","1.14",56,"Mature adults"
"Mick","Macewan","Male",32,"1967-12-12","Senior Cost Accountant","Financial Services","Mass Customer","N","No",16,"59254 Northland Alley","2032","NSW","Australia","10","206","1.14",56,"Mature adults"
"Abbie","Oldman","Male",82,"1983-11-26",NULL,"Health","High Net Worth","N","Yes",5,"4 North Drive","2168","NSW","Australia","8","212","1.14",40,"Middle adults"
"Tabbie","Curner","Male",12,"1997-03-13","Chief Design Engineer","Retail","Mass Customer","N","No",6,"89 Parkside Street","3021","VIC","Australia","6","212","1.14",26,"Young adults"
"Shane","Killen","Male",28,"1956-10-16","Account Executive","Entertainment","High Net Worth","N","No",10,"7 Hazelcrest Place","2165","NSW","Australia","8","212","1.14",67,"Seniors"
"Roberta","Goodale","Female",9,"1947-02-28","Information Systems Manager","Property","Mass Customer","N","Yes",22,"013 David Junction","4211","QLD","Australia","7","215","1.13",76,"Seniors"
"Kippy","Barabisch","Male",11,"2000-04-07","Legal Assistant","Manufacturing","Mass Customer","N","No",4,"840 Graceland Street","2125","NSW","Australia","11","215","1.13",23,"Young adults"
"Rosalinde","Cubuzzi","Female",50,"1997-09-04","Business Systems Development Analyst","n/a","Mass Customer","N","No",5,"6 Lotheville Trail","2444","NSW","Australia","7","215","1.13",26,"Young adults"
"Cami","Barnbrook","Female",8,"1963-01-01","Occupational Therapist","Health","Affluent Customer","N","Yes",18,"890 Truax Lane","4285","QLD","Australia","2","218","1.13",60,"Mature adults"
"Dorian","Stollen","Male",78,"1980-02-16","Statistician I","Financial Services","Mass Customer","N","Yes",18,"72922 Cambridge Terrace","2026","NSW","Australia","11","219","1.13",43,"Middle adults"
"Hunfredo","Hayball","Male",7,"1994-04-15",NULL,"IT","Affluent Customer","N","No",3,"60461 Esch Avenue","2227","NSW","Australia","8","219","1.13",29,"Young adults"
"Giorgi","O'Shirine","Male",68,"1981-06-20","Payment Adjustment Coordinator","Retail","Mass Customer","N","Yes",15,"6 Novick Alley","3934","VIC","Australia","8","219","1.13",42,"Middle adults"
"Kort","Disley","Male",66,"1979-02-05","Technical Writer","Health","Mass Customer","N","Yes",7,"76 Donald Trail","2160","NSW","Australia","9","219","1.13",44,"Middle adults"
"Gretna","Thredder","Female",62,"1966-01-08",NULL,"n/a","Mass Customer","N","No",18,"1607 Westridge Drive","2203","NSW","Australia","11","223","1.12",57,"Mature adults"
"Tobiah","Heinsius","Male",66,"2000-01-25","Chief Design Engineer","Health","High Net Worth","N","No",9,"3630 Dawn Crossing","2446","NSW","Australia","8","223","1.12",23,"Young adults"
"Wallace","Newart","Male",91,"1977-12-06",NULL,"IT","Mass Customer","N","No",17,"29007 Dapin Street","4650","QLD","Australia","1","223","1.12",46,"Middle adults"
"Hersh","Stubbert","Male",0,"2000-06-25","Technical Writer","Manufacturing","Mass Customer","N","Yes",15,"68 Fairfield Street","4115","QLD","Australia","8","226","1.11",23,"Young adults"
"Wyn","Saynor","Male",54,"1964-06-22","Cost Accountant","Financial Services","High Net Worth","N","No",8,"5 Briar Crest Road","2099","NSW","Australia","9","226","1.11",59,"Mature adults"
"Maribeth","Stivani","Female",46,"1954-11-13","Associate Professor","Financial Services","Mass Customer","N","No",7,"945 Bobwhite Court","2430","NSW","Australia","8","226","1.11",69,"Seniors"
"Abigale","Sives","Female",48,"1963-12-13","VP Marketing","Health","Affluent Customer","N","Yes",14,"2 Glendale Center","4207","QLD","Australia","4","230","1.11",60,"Mature adults"
"Gothart","Artus","Male",52,"1978-05-31","Health Coach IV","Health","Mass Customer","N","Yes",14,"21824 Northridge Alley","2117","NSW","Australia","10","231","1.11",45,"Middle adults"
"Danny","Bodle","Male",50,"1943-09-24","Statistician I","Manufacturing","Mass Customer","N","Yes",18,"68 Anthes Park","2007","NSW","Australia","9","231","1.11",80,"Seniors"
"Vittorio","Boxen","Male",94,"1965-08-15","Mechanical Systems Engineer","n/a","Mass Customer","N","No",14,"3 Anthes Court","2148","NSW","Australia","9","233","1.10",58,"Mature adults"
"Deborah","Petrovsky","Female",53,"1943-07-14","Teacher","Property","Mass Customer","N","No",16,"036 Redwing Street","2011","NSW","Australia","7","233","1.10",80,"Seniors"
"Agace","Hedge","Female",25,"1997-07-23","Media Manager II","n/a","Mass Customer","N","Yes",13,"92 Petterle Place","3429","VIC","Australia","8","233","1.10",26,"Young adults"
"Rolland","Esmead","Male",41,"1940-07-13",NULL,"Health","Affluent Customer","N","No",8,"72008 7th Avenue","2200","NSW","Australia","8","233","1.10",83,"Seniors"
"Latrena","Walklate","Female",97,"1943-10-05","Mechanical Systems Engineer","Telecommunications","High Net Worth","N","Yes",13,"87 Sheridan Junction","2281","NSW","Australia","8","237","1.09",80,"Seniors"
"Mariquilla","Springthorpe","Female",30,"1939-04-04","Director of Sales","n/a","Mass Customer","N","Yes",8,"811 Melrose Park","2224","NSW","Australia","10","237","1.09",84,"Seniors"
"Leticia","Danovich","Female",84,"1941-10-02","Design Engineer","Entertainment","Mass Customer","N","Yes",15,"2 Logan Avenue","4307","QLD","Australia","1","237","1.09",82,"Seniors"
"Harman","Lynds","Male",4,"1961-05-27","Professor","n/a","Mass Customer","N","Yes",5,"538 Gina Way","4105","QLD","Australia","8","240","1.09",62,"Mature adults"
"Farra","Matyushkin","Female",18,"1974-01-24","VP Quality Control","Manufacturing","High Net Worth","N","Yes",9,"52761 Portage Crossing","3170","VIC","Australia","9","241","1.09",49,"Middle adults"
"Robenia","Monks","Female",94,"1959-05-08","Nurse Practicioner","Manufacturing","Mass Customer","N","No",5,"8 Fieldstone Street","4065","QLD","Australia","9","241","1.09",64,"Mature adults"
"Roman","Eastwood","Male",57,"1969-09-21","Associate Professor","Manufacturing","Affluent Customer","N","Yes",16,"8957 Anhalt Alley","3004","VIC","Australia","4","241","1.09",54,"Middle adults"
"Solomon","Bruck","Male",29,"1957-11-15","Junior Executive","Health","Mass Customer","N","No",12,"5 High Crossing Junction","4556","QLD","Australia","8","244","1.08",66,"Seniors"
"Krystyna","Airey","Female",2,"1950-09-05","Safety Technician II","n/a","Mass Customer","N","Yes",19,"75760 Toban Junction","4006","QLD","Australia","5","244","1.08",73,"Seniors"
"Katharine","Redbourn","Female",8,"1967-09-11","Recruiter","Manufacturing","Affluent Customer","N","Yes",4,"178 Waxwing Trail","3134","VIC","Australia","10","244","1.08",56,"Mature adults"
"Cammy","Stoneham","Female",74,"1963-05-02","Business Systems Development Analyst","Financial Services","High Net Worth","N","No",14,"8648 Green Alley","4680","QLD","Australia","3","244","1.08",60,"Mature adults"
"Tannie","Petrakov","Male",84,"1951-11-27","Data Coordiator","IT","Affluent Customer","N","No",10,"691 Valley Edge Alley","4078","QLD","Australia","6","341","0.99",72,"Seniors"
"Ferdy","Hornung","Male",57,"1974-05-14","Analog Circuit Design manager","Entertainment","High Net Worth","N","No",18,"0686 Hallows Trail","4506","QLD","Australia","3","250","1.08",49,"Middle adults"
"Sunny","Christescu","Female",90,"1975-03-12","Cost Accountant","Financial Services","Mass Customer","N","No",11,"6668 Blue Bill Park Plaza","2209","NSW","Australia","10","250","1.08",48,"Middle adults"
"Shadow","Yakutin","Male",85,"1967-02-03","Software Test Engineer IV","Health","Affluent Customer","N","Yes",6,"06 Dwight Park","4119","QLD","Australia","2","252","1.07",56,"Mature adults"
"Sharai","Priddie","Female",13,"1961-01-16","Sales Representative","Retail","Mass Customer","N","No",9,"5202 Crowley Place","2145","NSW","Australia","9","252","1.07",62,"Mature adults"
"Celeste","Fretson","Female",91,"1980-09-16","Product Engineer","IT","Mass Customer","N","No",9,"14709 Portage Avenue","2166","NSW","Australia","9","252","1.07",43,"Middle adults"
"Lea","Ilyinski","Female",75,"1997-09-25","Structural Analysis Engineer","Financial Services","High Net Worth","N","No",12,"895 Glendale Park","2026","NSW","Australia","12","252","1.07",26,"Young adults"
"Dyann","Olechnowicz","Female",17,"1939-07-17","Nuclear Power Engineer","Manufacturing","Mass Customer","N","No",16,"0474 Bowman Hill","3031","VIC","Australia","10","252","1.07",84,"Seniors"
"Delly","Sunman","Female",49,"1959-04-11","Account Coordinator","Retail","Mass Customer","N","No",15,"652 Fuller Terrace","3206","VIC","Australia","12","252","1.07",64,"Mature adults"
"Malvin","Ryhorovich","Male",37,"1962-03-03","Quality Control Specialist","n/a","Mass Customer","N","No",5,"5356 Sugar Plaza","4818","QLD","Australia","3","252","1.07",61,"Mature adults"
"Tanya","Hamberston","Female",45,"2000-09-25","Product Engineer","n/a","Mass Customer","N","Yes",9,"7 Schiller Point","4113","QLD","Australia","6","259","1.06",23,"Young adults"
"Kaela","Romaines","Female",41,"1971-11-27","Geological Engineer","Manufacturing","High Net Worth","N","No",19,"9193 Prairieview Drive","2155","NSW","Australia","10","259","1.06",52,"Middle adults"
"Zondra","Ringham","Female",36,"1948-01-13","Cost Accountant","Financial Services","Mass Customer","N","Yes",7,"416 Lighthouse Bay Lane","4510","QLD","Australia","5","259","1.06",75,"Seniors"
"Barnebas","Apfel","Male",57,"1996-02-19","Account Executive","Manufacturing","Affluent Customer","N","Yes",2,"05475 Elgar Place","4000","QLD","Australia","6","259","1.06",27,"Young adults"
"Alleen","Eaken","Female",56,"1938-08-31",NULL,"n/a","Mass Customer","N","No",10,"343 Lakewood Center","2089","NSW","Australia","12","259","1.06",85,"Seniors"
"Gerri","Schimann","Female",81,"1969-11-17","Desktop Support Technician","Property","Mass Customer","N","Yes",18,"47 Kim Terrace","2566","NSW","Australia","8","259","1.06",54,"Middle adults"
"Antonietta","Egle","Female",82,"1973-09-25","Actuary","Financial Services","Mass Customer","N","No",7,"590 Hagan Parkway","3805","VIC","Australia","7","259","1.06",50,"Middle adults"
"Raff","Waycott","Male",70,"1951-12-16","Engineer IV","Manufacturing","Affluent Customer","N","Yes",14,"94694 Eagle Crest Terrace","3977","VIC","Australia","7","259","1.06",72,"Seniors"
"Lark","Gonet","Female",89,"1972-01-17","Database Administrator II","Health","High Net Worth","N","No",8,"261 Orin Center","2763","NSW","Australia","8","259","1.06",51,"Middle adults"
"Cletis","Longley","Male",84,"1996-07-01","Chemical Engineer","Manufacturing","High Net Worth","N","Yes",1,"667 Waxwing Plaza","3199","VIC","Australia","7","271","1.06",27,"Young adults"
"Theresa","Cowper","Female",99,"1976-08-24","Accountant III","Manufacturing","Mass Customer","N","No",3,"88 Mifflin Pass","2529","NSW","Australia","10","271","1.06",47,"Middle adults"
"Philbert","Raraty","Male",48,"1956-06-28","Executive Secretary","Manufacturing","Mass Customer","N","No",6,"10 Dexter Park","2177","NSW","Australia","9","274","1.05",67,"Seniors"
"Egon","Ortells","Male",35,"1976-06-11","Structural Engineer","Manufacturing","Affluent Customer","N","No",13,"3 Sundown Hill","2168","NSW","Australia","9","274","1.05",47,"Middle adults"
"Dahlia","Shovlar","Female",90,"1966-03-07","Environmental Specialist","n/a","Affluent Customer","N","Yes",7,"655 Glendale Trail","3976","VIC","Australia","3","274","1.05",57,"Mature adults"
"Timi","Duny","Female",70,"1953-03-12","Office Assistant II","Telecommunications","High Net Worth","N","No",6,"39192 Glendale Alley","2092","NSW","Australia","12","274","1.05",70,"Seniors"
"Dominick","Asher","Male",50,"1962-10-06","Research Associate","Health","Affluent Customer","N","Yes",5,"7307 Lake View Crossing","3804","VIC","Australia","9","278","1.05",61,"Mature adults"
"Raye","Roo","Female",64,"1976-03-07","Database Administrator I","Financial Services","Mass Customer","N","Yes",16,"1199 Express Plaza","3046","VIC","Australia","9","278","1.05",47,"Middle adults"
"Becka","Hacon","Female",81,"1965-07-03","General Manager","Financial Services","Affluent Customer","N","No",17,"1 Namekagon Point","3791","VIC","Australia","9","278","1.05",58,"Mature adults"
"Cirillo","Frossell","Male",7,"1968-10-14","Graphic Designer","n/a","Mass Customer","N","No",6,"602 Meadow Vale Lane","2111","NSW","Australia","12","278","1.05",55,"Mature adults"
"Verla","Dumingos","Female",26,"1971-09-18","Design Engineer","Telecommunications","Mass Customer","N","Yes",10,"6784 Spohn Alley","3021","VIC","Australia","8","282","1.05",52,"Middle adults"
"Sherrie","Godleman","Female",37,"1978-04-02","Associate Professor","Manufacturing","Mass Customer","N","No",19,"67 Shelley Crossing","3350","VIC","Australia","2","282","1.05",45,"Middle adults"
"Dexter","Shutle","Male",81,"1959-01-05","Quality Control Specialist","n/a","Mass Customer","N","No",17,"07 Dayton Court","4005","QLD","Australia","7","284","1.05",64,"Mature adults"
"Konstanze","Hovie","Female",88,"1967-01-09","Pharmacist","Health","Mass Customer","N","No",11,"351 Sunfield Lane","4370","QLD","Australia","7","285","1.04",56,"Mature adults"
"Bink","Bentje","Male",3,"1957-03-23","Payment Adjustment Coordinator","Financial Services","High Net Worth","N","Yes",19,"8427 Moulton Place","2680","NSW","Australia","3","285","1.04",66,"Seniors"
"Debbi","Dannatt","Female",2,"1958-12-28","Technical Writer","n/a","Affluent Customer","N","No",6,"3 Pepper Wood Hill","4218","QLD","Australia","10","287","1.04",65,"Seniors"
"Giana","Staresmeare","Female",96,"1976-04-20","Account Representative IV","Retail","Affluent Customer","N","Yes",9,"8737 Scoville Center","2770","NSW","Australia","7","289","1.04",47,"Middle adults"
"Morton","Petkens","Male",50,"1990-11-13","Account Coordinator","Manufacturing","High Net Worth","N","Yes",10,"385 Montana Place","3012","VIC","Australia","1","289","1.04",33,"Young adults"
"Vittoria","Whitney","Female",95,"1981-06-03","Research Assistant I","n/a","High Net Worth","N","No",12,"3 Surrey Court","2019","NSW","Australia","11","291","1.04",42,"Middle adults"
"Paquito","Atwood","Male",15,"1972-07-30","Nuclear Power Engineer","Manufacturing","Affluent Customer","N","No",9,"2 Magdeline Street","3199","VIC","Australia","8","291","1.04",51,"Middle adults"
"Dimitri","Tribbeck","Male",89,"1958-12-07","Chief Design Engineer","n/a","Affluent Customer","N","No",20,"93235 Hoard Trail","3165","VIC","Australia","6","291","1.04",65,"Seniors"
"Gleda","Howerd","Female",59,"1964-01-22","Senior Developer","IT","Mass Customer","N","No",6,"481 Moulton Place","2440","NSW","Australia","2","444","0.90",59,"Mature adults"
"Kermit","Lebond","Male",36,"1980-02-01","Financial Advisor","Financial Services","Mass Customer","N","No",4,"71 Ludington Center","4208","QLD","Australia","8","295","1.03",43,"Middle adults"
"Biddie","Gorce","Female",68,"1988-01-30","Senior Financial Analyst","Financial Services","Mass Customer","N","Yes",5,"2116 Continental Terrace","2795","NSW","Australia","7","295","1.03",35,"Middle adults"
"Rupert","Marrow","Male",73,"1970-08-08",NULL,"Property","High Net Worth","N","No",19,"2 7th Way","2760","NSW","Australia","8","297","1.03",53,"Middle adults"
"Geoff","Sitford","Male",97,"1965-02-27","Account Executive","Financial Services","Mass Customer","N","Yes",4,"7 Elgar Road","2148","NSW","Australia","8","297","1.03",58,"Mature adults"
"Tiphanie","Blackader","Female",59,"1947-10-08","Physical Therapy Assistant","Retail","Mass Customer","N","No",17,"71 Stone Corner Avenue","2007","NSW","Australia","11","297","1.03",76,"Seniors"
"Zollie","Crinidge","Male",39,"1988-01-10","Systems Administrator I","Retail","Mass Customer","N","Yes",10,"0 Esker Avenue","4019","QLD","Australia","5","297","1.03",35,"Middle adults"
"Daisy","Pollen","Female",97,"1993-08-09","Cost Accountant","Financial Services","Mass Customer","N","No",7,"61825 Debs Terrace","3167","VIC","Australia","9","302","1.03",30,"Young adults"
"Emelen","Bidnall","Male",79,"1981-08-05","Systems Administrator IV","Health","Affluent Customer","N","Yes",11,"11 Oak Terrace","2026","NSW","Australia","12","302","1.03",42,"Middle adults"
"Linette","Boman","Female",56,"1949-05-20","Account Executive","n/a","Affluent Customer","N","No",11,"7 Michigan Hill","2076","NSW","Australia","11","304","1.03",74,"Seniors"
"Manya","Abramovici","Female",42,"1955-07-17","Quality Engineer","Financial Services","High Net Worth","N","Yes",13,"8 Randy Park","4214","QLD","Australia","8","304","1.03",68,"Seniors"
"Brynna","Tivers","Female",81,"1974-08-09","Recruiting Manager","Financial Services","Mass Customer","N","No",6,"0 Mayfield Parkway","4272","QLD","Australia","7","304","1.03",49,"Middle adults"
"Art","Carolan","Male",1,"1954-11-09","Marketing Manager","n/a","Affluent Customer","N","Yes",11,"57903 Hanson Parkway","2570","NSW","Australia","9","304","1.03",69,"Seniors"
"Alfi","Sabbins","Female",63,"1959-06-12",NULL,"Financial Services","High Net Worth","N","Yes",18,"763 Ridgeway Place","2344","NSW","Australia","3","304","1.03",64,"Mature adults"
"Loleta","Aberdalgy","Female",45,"1981-02-15","Occupational Therapist","Health","Mass Customer","N","No",11,"99 Westend Court","2287","NSW","Australia","6","304","1.03",42,"Middle adults"
"Aldric","Birney","Male",21,"1971-08-19",NULL,"Manufacturing","Mass Customer","N","Yes",14,"5 Caliangt Center","2546","NSW","Australia","6","310","1.02",52,"Middle adults"
"Natividad","Balducci","Female",39,"1991-02-07",NULL,"Property","High Net Worth","N","Yes",10,"4472 Washington Junction","3206","VIC","Australia","11","310","1.02",32,"Young adults"
"Claudine","Dymick","Female",28,"1965-12-13","Design Engineer","Health","Mass Customer","N","No",5,"31675 Corry Way","3977","VIC","Australia","5","312","1.02",58,"Mature adults"
"Seamus","Cains","Male",61,"1989-12-15","Teacher","Manufacturing","High Net Worth","N","No",7,"4882 Dakota Center","2305","NSW","Australia","8","312","1.02",34,"Young adults"
"Guss","Karim","Male",95,"1968-11-24","Senior Sales Associate","Manufacturing","Mass Customer","N","No",7,"4 Warner Circle","2227","NSW","Australia","11","312","1.02",55,"Mature adults"
"Julietta","Setchfield","Female",73,"1992-01-31","Operator","n/a","High Net Worth","N","Yes",3,"4 Manufacturers Crossing","4170","QLD","Australia","8","312","1.02",31,"Young adults"
"Roch","Symson","Female",96,"1978-05-13","Office Assistant I","Manufacturing","High Net Worth","N","No",18,"016 Westport Park","3073","VIC","Australia","9","312","1.02",45,"Middle adults"
"Audry","Fann","Female",3,"1957-10-17","Pharmacist","Health","Mass Customer","N","Yes",15,"19 Debs Parkway","3029","VIC","Australia","6","312","1.02",66,"Seniors"
"Cecelia","Cisar","Female",20,"1985-03-26",NULL,"Property","Mass Customer","N","Yes",15,"665 Sachs Way","4212","QLD","Australia","7","312","1.02",38,"Middle adults"
"Clari","Voas","Female",74,"1955-07-28","Human Resources Assistant II","Health","Affluent Customer","N","Yes",14,"4110 Mifflin Center","2127","NSW","Australia","8","312","1.02",68,"Seniors"
"Zach","Hedman","Male",87,"1981-09-11","Analyst Programmer","Financial Services","Affluent Customer","N","Yes",4,"62 Spaight Center","2566","NSW","Australia","9","320","1.02",42,"Middle adults"
"Paxon","Roomes","Male",78,"1976-11-06","Information Systems Manager","n/a","High Net Worth","N","Yes",7,"3 Express Lane","3021","VIC","Australia","7","320","1.02",47,"Middle adults"
"Parnell","Lamprey","Male",23,"1977-04-08","Engineer III","Financial Services","High Net Worth","N","No",12,"7353 Mallard Junction","2165","NSW","Australia","6","322","1.01",46,"Middle adults"
"Honey","Gosdin","Female",0,"1981-11-29","Software Engineer I","Property","Mass Customer","N","No",17,"066 Warner Trail","2582","NSW","Australia","9","322","1.01",42,"Middle adults"
"Sonny","McCart","Male",35,"1992-08-27","Account Representative I","Manufacturing","High Net Worth","N","No",9,"52752 Barby Hill","3020","VIC","Australia","9","324","1.01",31,"Young adults"
"Deirdre","Burgoine","Female",14,"1955-01-08","Programmer III","Health","High Net Worth","N","No",7,"0 Stoughton Park","3000","VIC","Australia","1","326","1.01",68,"Seniors"
"Haleigh",NULL,"Female",17,"1952-05-19","Senior Sales Associate","Financial Services","Mass Customer","N","Yes",18,"49 Jana Point","4503","QLD","Australia","4","326","1.01",71,"Seniors"
"Aldridge","Poskitt","Male",84,"1982-02-10","VP Sales","n/a","Mass Customer","N","No",12,"7 Fordem Point","4161","QLD","Australia","5","326","1.01",41,"Middle adults"
"Zechariah","McReidy","Male",32,"1978-07-22","Technical Writer","Manufacturing","High Net Worth","N","No",21,"797 Westend Street","4207","QLD","Australia","6","329","1.00",45,"Middle adults"
"Carry","Costi","Female",32,"1972-11-26","Senior Developer","Property","Mass Customer","N","No",11,"5316 Farwell Hill","2800","NSW","Australia","4","329","1.00",51,"Middle adults"
"Alon",NULL,"Male",17,"1999-06-23","Accountant IV","n/a","Affluent Customer","N","No",9,"770 Crest Line Parkway","4218","QLD","Australia","3","329","1.00",24,"Young adults"
"Ahmed","Pickthorne","Male",46,"1959-12-25","Marketing Manager","n/a","High Net Worth","N","Yes",15,"50 American Street","2147","NSW","Australia","9","329","1.00",64,"Mature adults"
"Nil","Shirer","Male",64,"1997-09-27","Librarian","Entertainment","Mass Customer","N","Yes",7,"4793 Mcbride Pass","3013","VIC","Australia","8","329","1.00",26,"Young adults"
"Erhard","O'Moylane","Male",33,"1978-05-27","Media Manager I","Retail","Affluent Customer","N","Yes",9,"01124 Dottie Lane","3630","VIC","Australia","2","334","1.00",45,"Middle adults"
"Vitia","Axtens","Female",62,"1945-08-08","Financial Advisor","Financial Services","Mass Customer","N","Yes",15,"42681 Carey Alley","2011","NSW","Australia","10","334","1.00",78,"Seniors"
"Haskell","Moxted","Male",81,"1943-08-27","Civil Engineer","Manufacturing","Mass Customer","N","No",7,"2941 Talisman Alley","2145","NSW","Australia","9","334","1.00",80,"Seniors"
"Ebony","Conrad","Female",8,"1999-10-24","Environmental Tech","Financial Services","Mass Customer","N","Yes",16,"990 Hoffman Avenue","3029","VIC","Australia","7","334","1.00",24,"Young adults"
"Lincoln","Boler","Male",53,"1976-01-24","Chief Design Engineer","n/a","Affluent Customer","N","No",14,"5 Summer Ridge Court","3207","VIC","Australia","8","338","1.00",47,"Middle adults"
"Vladimir","Westmerland","Male",18,"1956-06-19",NULL,"Manufacturing","Mass Customer","N","Yes",18,"102 Charing Cross Terrace","2640","NSW","Australia","4","338","1.00",67,"Seniors"
"Kylynn","Drowsfield","Female",80,"1975-03-28","Editor","n/a","High Net Worth","N","Yes",7,"5 Trailsway Avenue","3059","VIC","Australia","9","338","1.00",48,"Middle adults"
"Nicole","Ruckhard","Female",93,"1969-10-09","Human Resources Manager","Health","Affluent Customer","N","Yes",17,"23694 Leroy Place","4560","QLD","Australia","3","341","0.99",54,"Middle adults"
"Celestina","Lethardy","Female",38,"1968-12-11","Software Consultant","IT","Mass Customer","N","Yes",11,"53 Memorial Street","3163","VIC","Australia","10","341","0.99",55,"Mature adults"
"Diego","Van den Broek","Male",17,"1964-09-28","Business Systems Development Analyst","Manufacturing","Affluent Customer","N","Yes",13,"8 Schlimgen Drive","4055","QLD","Australia","7","345","0.99",59,"Mature adults"
"Lucilia","Minshall","Female",71,"1952-04-15",NULL,"IT","Mass Customer","N","Yes",7,"0237 Mallard Place","2750","NSW","Australia","8","345","0.99",71,"Seniors"
"Cissiee","Pollington","Female",43,"1941-07-21","Associate Professor","Property","Mass Customer","N","Yes",7,"69710 Northfield Center","2256","NSW","Australia","9","345","0.99",82,"Seniors"
"Eddy","Sturch","Male",22,"1961-02-11","Software Consultant","Financial Services","High Net Worth","N","Yes",17,"1 Kinsman Crossing","4158","QLD","Australia","6","345","0.99",62,"Mature adults"
"Caron","Kezar","Female",11,"1953-08-08","Social Worker","Health","Mass Customer","N","No",5,"40553 Rigney Avenue","2835","NSW","Australia","1","349","0.99",70,"Seniors"
